tid,attribute,correct_val
925,sensor33,32.81
926,sensor0,47.31
926,sensor33,33.07
927,sensor0,47.31
927,sensor33,33.85
928,sensor0,47.31
928,sensor33,35.21
929,sensor0,47.31
929,sensor33,35.32
958,sensor1,50.09
958,sensor34,105.73
959,sensor1,50.09
959,sensor34,107.81
960,sensor1,50.17
960,sensor34,106.77
961,sensor1,50.17
961,sensor34,106.77
962,sensor1,50.13
962,sensor34,110.42
963,sensor1,50.17
963,sensor34,112.24
964,sensor1,50.17
964,sensor34,110.42
965,sensor1,50.13
965,sensor34,107.81
966,sensor1,50.17
966,sensor34,103.91
967,sensor1,50.22
967,sensor34,100.26
989,sensor0,47.48
989,sensor1,50.22
990,sensor0,47.48
990,sensor1,50.35
991,sensor0,47.48
991,sensor1,50.3
992,sensor0,47.48
992,sensor1,50.3
993,sensor0,47.48
993,sensor1,50.35
994,sensor0,47.53
994,sensor1,50.35
995,sensor0,47.53
995,sensor1,50.35
996,sensor0,47.48
996,sensor1,50.35
997,sensor0,47.53
997,sensor1,50.35
998,sensor0,47.53
998,sensor1,50.35
999,sensor0,47.53
999,sensor1,50.39
1000,sensor0,47.53
1000,sensor1,50.35
1001,sensor0,47.53
1001,sensor1,50.35
1002,sensor0,47.53
1002,sensor1,50.3
1003,sensor0,47.53
1003,sensor1,50.35
1161,sensor0,47.92
1161,sensor2,43.45
1162,sensor0,47.92
1162,sensor2,43.49
1163,sensor0,47.74
1163,sensor2,43.49
1164,sensor0,47.92
1164,sensor2,43.49
1165,sensor0,47.92
1165,sensor2,43.58
1166,sensor0,47.92
1166,sensor2,43.58
1167,sensor0,47.92
1167,sensor2,43.58
1168,sensor0,47.92
1168,sensor2,43.62
1169,sensor0,47.83
1169,sensor2,43.62
1170,sensor0,47.83
1170,sensor2,43.66
1171,sensor0,47.83
1171,sensor2,43.66
1172,sensor0,47.83
1172,sensor2,43.66
1173,sensor0,47.83
1173,sensor2,43.71
1174,sensor0,47.83
1174,sensor2,43.71
1191,sensor2,43.92
1191,sensor33,29.17
1192,sensor2,43.92
1192,sensor33,29.17
1193,sensor2,43.92
1193,sensor33,28.91
1194,sensor2,43.92
1194,sensor33,28.91
1195,sensor2,43.92
1195,sensor33,28.91
1196,sensor2,43.92
1196,sensor33,30.21
1197,sensor2,43.92
1197,sensor33,31.25
1198,sensor2,44.01
1198,sensor33,31.25
1199,sensor2,44.01
1199,sensor33,30.99
1200,sensor0,47.79
1200,sensor2,44.05
1200,sensor33,30.21
1201,sensor0,47.79
1201,sensor2,44.05
1201,sensor33,30.21
1202,sensor0,47.79
1202,sensor2,44.05
1202,sensor33,29.95
1203,sensor0,47.79
1203,sensor2,44.05
1203,sensor33,29.95
1204,sensor0,47.79
1204,sensor1,50.61
1204,sensor2,44.05
1204,sensor33,30.21
1205,sensor0,47.57
1205,sensor1,50.61
1205,sensor2,44.05
1205,sensor33,30.21
1206,sensor0,47.79
1206,sensor1,50.61
1206,sensor2,44.1
1206,sensor33,30.99
1207,sensor0,47.79
1207,sensor1,50.56
1207,sensor2,44.1
1207,sensor33,30.47
1208,sensor0,47.79
1208,sensor1,50.61
1208,sensor2,44.1
1208,sensor33,30.21
1209,sensor0,47.7
1209,sensor1,50.61
1209,sensor2,44.1
1209,sensor33,29.95
1210,sensor0,47.79
1210,sensor1,50.61
1210,sensor2,44.1
1210,sensor33,29.69
1211,sensor0,47.79
1211,sensor1,50.61
1211,sensor2,44.1
1211,sensor33,29.69
1212,sensor0,47.79
1212,sensor1,50.65
1212,sensor2,44.1
1212,sensor33,29.17
1213,sensor0,47.79
1213,sensor1,50.61
1213,sensor2,44.1
1213,sensor33,29.69
1214,sensor0,47.79
1214,sensor1,50.65
1214,sensor2,44.1
1214,sensor33,29.95
1215,sensor0,47.79
1215,sensor1,50.74
1215,sensor2,44.1
1215,sensor33,29.95
1216,sensor0,47.79
1216,sensor1,50.65
1216,sensor2,44.14
1216,sensor33,30.47
1217,sensor0,47.79
1217,sensor1,50.65
1217,sensor2,44.14
1217,sensor33,31.77
1218,sensor0,47.79
1218,sensor1,50.65
1218,sensor2,44.1
1218,sensor33,32.81
1219,sensor0,47.74
1219,sensor1,50.61
1219,sensor2,44.14
1219,sensor33,32.29
1220,sensor0,47.83
1220,sensor1,50.65
1220,sensor2,44.1
1220,sensor33,31.51
1221,sensor0,47.83
1221,sensor1,50.65
1221,sensor2,44.1
1221,sensor33,30.99
1222,sensor0,47.83
1222,sensor1,50.65
1222,sensor2,44.1
1222,sensor33,30.47
1223,sensor0,47.83
1223,sensor1,50.61
1223,sensor2,44.05
1223,sensor33,30.21
1224,sensor0,47.79
1224,sensor2,44.05
1224,sensor33,30.47
1225,sensor0,47.83
1225,sensor2,44.01
1225,sensor33,30.47
1226,sensor0,47.83
1226,sensor2,44.01
1226,sensor33,30.47
1227,sensor0,47.83
1227,sensor2,44.01
1227,sensor33,30.99
1228,sensor0,47.83
1228,sensor2,44.01
1228,sensor33,30.99
1229,sensor0,47.83
1229,sensor2,44.01
1229,sensor33,30.99
1230,sensor0,47.83
1230,sensor2,44.05
1230,sensor33,30.99
1231,sensor0,47.83
1231,sensor2,44.05
1231,sensor33,30.99
1232,sensor0,47.83
1232,sensor2,44.05
1232,sensor33,30.47
1233,sensor0,47.83
1234,sensor0,47.83
1235,sensor0,47.83
1236,sensor0,47.83
1442,sensor32,46.61
1442,sensor33,36.2
1443,sensor32,46.88
1443,sensor33,36.46
1444,sensor32,46.61
1444,sensor33,36.2
1445,sensor32,46.09
1445,sensor33,35.42
1446,sensor32,46.88
1446,sensor33,35.16
1447,sensor32,47.92
1447,sensor33,36.2
1448,sensor32,49.22
1448,sensor33,36.72
1449,sensor32,51.04
1449,sensor33,37.5
1450,sensor32,48.17
1450,sensor33,37.76
1451,sensor32,48.06
1451,sensor33,37.5
1452,sensor32,49.74
1452,sensor33,37.5
1453,sensor32,48.44
1453,sensor33,36.46
1454,sensor32,48.18
1454,sensor33,35.42
1455,sensor32,47.92
1455,sensor33,34.38
1456,sensor32,47.92
1456,sensor33,34.11
1457,sensor32,47.92
1457,sensor33,33.85
1467,sensor1,51.09
