sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
46.83,49.7,42.97,47.92,30.21,76.04
46.83,49.7,43.01,46.88,29.95,81.77
46.83,49.7,43.06,46.61,29.95,85.16
46.83,49.74,43.14,46.09,29.69,87.5
46.83,49.74,43.14,46.88,29.69,89.06
46.83,49.74,43.19,47.4,29.17,89.58
46.83,49.7,43.19,47.14,28.91,89.06
46.83,49.7,43.19,46.09,28.91,89.06
46.83,49.7,43.19,45.83,28.91,86.98
46.83,49.74,43.23,46.09,28.91,83.07
46.83,49.7,43.23,45.83,29.17,78.39
46.83,49.74,43.27,45.31,29.69,75.26
46.83,49.7,43.27,45.31,29.69,77.86
46.83,49.74,43.36,45.31,29.69,79.69
46.83,49.7,43.36,45.31,29.17,79.95
46.83,49.65,43.4,45.31,28.91,79.95
46.83,49.7,43.4,44.79,28.91,79.95
46.83,49.65,43.4,44.79,28.65,79.17
46.83,49.7,43.4,44.01,28.65,78.65
46.83,49.74,43.45,43.49,28.65,79.95
46.83,49.7,43.45,44.01,28.65,86.2
46.83,49.65,43.45,43.49,28.91,91.41
46.83,49.7,43.45,43.23,28.91,93.75
46.83,49.7,43.45,42.97,29.95,96.35
46.83,49.7,43.45,42.19,29.77,96.61
46.83,49.74,43.45,41.67,29.73,92.97
46.83,49.74,43.45,41.93,29.65,89.58
46.83,49.7,43.4,42.97,30.99,85.94
46.83,49.7,43.4,42.97,30.21,82.03
46.83,49.7,43.4,44.79,29.69,78.85
46.83,49.7,43.4,44.79,29.69,73.96
46.83,49.74,43.4,46.09,29.69,71.35
46.83,49.7,43.4,46.88,29.95,69.53
46.83,49.65,43.4,47.14,30.47,67.97
46.83,49.7,43.4,47.14,30.21,64.84
46.83,49.7,43.4,46.09,29.95,63.8
46.83,49.65,43.4,44.79,29.69,64.32
46.83,49.7,43.45,44.27,29.17,66.15
46.83,49.65,43.45,44.79,29.17,66.41
46.83,49.65,43.45,45.57,29.69,66.41
46.83,49.7,43.49,46.09,29.17,66.15
46.83,49.65,43.49,47.14,28.91,63.54
46.83,49.57,43.49,48.18,28.65,60.94
46.83,49.7,43.49,48.7,28.65,57.55
46.83,49.65,43.58,47.17,28.91,57.03
46.83,49.65,43.58,46.92,29.17,57.55
46.83,49.57,43.58,46.74,30.47,61.2
46.83,49.65,43.58,46.73,31.25,64.84
46.83,49.57,43.58,46.76,31.25,66.67
46.83,49.65,43.58,48.44,30.99,67.97
46.83,49.57,43.58,47.14,30.21,69.01
46.83,49.65,43.62,45.57,29.69,70.05
46.83,49.57,43.62,44.27,29.17,69.53
46.83,49.65,43.62,44.01,29.17,68.75
46.83,49.57,43.62,45.57,29.69,69.53
46.83,49.65,43.62,46.88,29.95,70.05
46.83,49.52,43.62,47.92,30.47,72.66
46.83,49.65,43.62,47.92,31.77,76.56
46.83,49.65,43.62,47.14,33.07,77.08
46.83,49.57,43.62,46.61,33.85,75.26
46.83,49.52,43.66,46.61,33.59,70.83
46.83,49.57,43.66,47.14,33.07,68.23
46.83,49.57,43.66,47.92,33.07,66.67
46.83,49.52,43.66,47.4,32.81,62.76
46.83,49.57,43.66,47.14,31.77,61.46
46.83,49.52,43.71,47.14,31.51,64.06
46.83,49.52,43.71,45.83,30.99,67.71
46.83,49.57,43.71,44.79,30.47,70.57
46.74,49.65,43.71,44.53,30.99,71.88
46.74,49.52,43.71,44.79,30.47,71.88
46.74,49.57,43.71,45.83,30.21,71.61
